X1,Beta,mu_IR,rho,eta,N,loglik,loglik.se
NA,20.614370051461655,2,0.28717015698258747,0.11154920330353695,38000,-121.32569372648744,0.11597482748032285
NA,20.830849052344355,2,0.2813470086513044,0.11091823256334628,38000,-121.36214603703665,0.11701452154107717
NA,19.480958654894575,2,0.30422686791362236,0.11495872008182316,38000,-121.36291376764756,0.12298836346014076
NA,21.66807088180086,2,0.2729982992087336,0.10767205316624194,38000,-121.5172818933515,0.08247860741484837
NA,20.37337362061674,2,0.255896131273017,0.11636013403444673,38000,-121.62046641094237,0.06494318164168733
NA,23.40701533796415,2,0.31260061120953164,0.09705584903382417,38000,-121.74081710245477,0.1410916074381135
NA,23.758023168853995,2,0.33712693538063515,0.09550214247791484,38000,-121.91188362182419,0.1530535866583706
NA,23.59054425218524,2,0.3050603203728618,0.09864011119035211,38000,-121.9401375727736,0.13658713249604948
NA,23.55167186416462,2,0.3384883421138822,0.09383040518436989,38000,-122.12958005790821,0.24076749305773334
NA,25.760973640431583,2,0.3161193807675975,0.09077904422770479,38000,-122.29638713711803,0.07775773209357617
NA,23.711458568905346,2,0.28969831466149526,0.10098878345063682,38000,-122.35925840204982,0.10350283534627844
NA,22.036289220533828,2,0.356516454331399,0.09721057289796721,38000,-122.36632118907137,0.1621850215214123
NA,26.123405325372442,2,0.3538632677091744,0.0890261168891415,38000,-122.52298925804324,0.15115598080231318
NA,22.26050617406465,2,0.24518277410461375,0.1076934255721109,38000,-122.83989823391038,0.11594772128543683
NA,25.54056771740433,2,0.28990307652878505,0.09264284697252084,38000,-122.88163807952675,0.12166880900506755
NA,26.665173595670296,2,0.29531963642736275,0.09044946318203771,38000,-122.96880177398104,0.1514007987969039
NA,21.23715160979703,2,0.2720657148272029,0.10410262161573139,38000,-123.30941200283107,0.20241880710726254
NA,28.936223596910615,2,0.3599718834588275,0.07815949464174572,38000,-123.70128375892057,0.14679293529212206
NA,25.021183305546632,2,0.2557705749639797,0.09983216836782886,38000,-123.9917668451256,0.0935641761404055
NA,28.598901468774102,2,0.2821199720613587,0.08877946801625979,38000,-124.82172127948962,0.11014593013743466
1,20,2,0.5,0.1,38000,-126.561127196433,0.464220286139692
